domain,left,right,left_total,right_total,left_share,right_share
.cbn.com,0.0,17.0,334894,260132,0.0,6.535143696277275e-5
1-thom-zehrfeld.pixels.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
100percentfedup.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
11alive.com,1.0,8.0,334894,260132,2.986019456902781e-6,3.0753617394246e-5
1215.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
12160.info,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
13newsnow.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
141.105.65.113.ipaddress.com,9.0,0.0,334894,260132,2.687417511212503e-5,0.0
1461daysoftrump.blogspot.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
1nselpresse.blogspot.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
2017acpwalk.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
21stcenturywire.com,3.0,9.0,334894,260132,8.958058370708343e-6,3.459781956852675e-5
24ahead.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
24hours.goodsnewstoday.us,0.0,46.0,334894,260132,0.0,1.768333000169145e-4
2wsb.tv,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
3.sexxx.men,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
350.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
3dotnews.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
3vo.co,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
42flies.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
4liberty.org.uk,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
50-shades-of-abuse.blogspot.com.au,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
500px.com,0.0,15.0,334894,260132,0.0,5.7663032614211245e-5
521LOVECOUTURE.COM,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
53eig.ht,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
53per.center,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
5calls.org,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
7dvt.co,4.0,0.0,334894,260132,1.1944077827611124e-5,0.0
82391.forumromanum.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
8ch.net,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
911truth.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
92y.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
99activist.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
99percentinvisible.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
9gag.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
9news.com,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
a.msn.com,73.0,11.0,334894,260132,2.1797942035390303e-4,4.228622391708825e-5
aanirfan.blogspot.ae,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
aanirfan.blogspot.ca,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
aanirfan.blogspot.co.uk,0.0,6.0,334894,260132,0.0,2.3065213045684498e-5
aanirfan.blogspot.nl,0.0,9.0,334894,260132,0.0,3.459781956852675e-5
abc.net.au,9.0,3.0,334894,260132,2.687417511212503e-5,1.1532606522842249e-5
abc10.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
abc11.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
abc13.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
abc15.com,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
abc27.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
abc7.com,3.0,1.0,334894,260132,8.958058370708343e-6,3.84420217428075e-6
abc7.la,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
abc7.ws,56.0,0.0,334894,260132,1.6721708958655575e-4,0.0
abc7chicago.com,6.0,1.0,334894,260132,1.7916116741416687e-5,3.84420217428075e-6
abc7ne.ws,3.0,1.0,334894,260132,8.958058370708343e-6,3.84420217428075e-6
abc7news.com,5.0,4.0,334894,260132,1.4930097284513906e-5,1.5376808697123e-5
abc7ny.com,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
abcn.ws,90.0,6.0,334894,260132,2.687417511212503e-4,2.3065213045684498e-5
ABCNews.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
abcnews.go.com,51.0,5.0,334894,260132,1.5228699230204184e-4,1.922101087140375e-5
abolishthebbc.co.uk,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
aboriginalwriter.wordpress.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
abqjournal.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
academia.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
accmag.com,0.0,24.0,334894,260132,0.0,9.226085218273799e-5
accordingtoadrienne.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
aceloewgold.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
aclj.org,0.0,5.0,334894,260132,0.0,1.922101087140375e-5
aclu.org,10.0,4.0,334894,260132,2.9860194569027812e-5,1.5376808697123e-5
act.boldprogressives.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
act.colorofchange.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
act.credoaction.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
act.gp,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
act.greenpeace.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
act.ips-dc.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
act.weareultraviolet.org,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
actb.lu,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
action.aclu.org,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
action.biologicaldiversity.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
action.dccc.org,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
action.donaldjtrump.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
action.foe.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
action.groundswell-mvmt.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
actionnetwork.org,27.0,1.0,334894,260132,8.06225253363751e-5,3.84420217428075e-6
actions.priceofoil.org,4.0,0.0,334894,260132,1.1944077827611124e-5,0.0
actionsprout.io,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
activateiowa.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
activist-wear.com,34.0,0.0,334894,260132,1.0152466153469456e-4,0.0
activistpost.com,0.0,6.0,334894,260132,0.0,2.3065213045684498e-5
actualidad.rt.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
adambaumsocal.wordpress.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
ADDClasses.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
addictinginfo.org,15.0,0.0,334894,260132,4.479029185354172e-5,0.0
adirondackdailyenterprise.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
adpemploymentreport.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
advocate.com,5.0,1.0,334894,260132,1.4930097284513906e-5,3.84420217428075e-6
